"IdTipoBeneficio_T";"IdAreaDeServicio_T";"IdCondicionDePagoCopago_T";"IdCondicionDePagoCoseguro_T";"IdNivelServicio_T";"IdPlan_T";"Fecha";"IdProveedor_T";"valorCopago";"valorCoseguro";"cantidadLimite"
825;38222018;238;45;1;"33602TX0460722-01";"2018-12-31";33602;0;0;0
825;34332018;238;45;3;"30751MT0650009-00";"2018-12-31";30751;0;0;0
225;13952018;238;45;2;"20129IL0310123-01";"2018-12-31";20129;0;0;0
255;95082017;34;27;1;"87571OK0350027-05";"2017-12-31";87571;0;20;0
710;95082017;34;27;3;"87571OK0350027-05";"2017-12-31";87571;0;30;0
450;24982017;238;45;2;"26250TX0050004-00";"2017-12-31";26250;0;0;0
825;39192017;238;45;1;"33602TX0780065-02";"2017-12-31";33602;0;0;0
255;37882017;34;18;1;"33602TX0460322-03";"2017-12-31";33602;0;0;0
165;642017;34;27;1;"11269WY0080014-00";"2017-12-31";11269;0;25;0
275;25172018;153;36;1;"27248TX0010005-00";"2018-12-31";27248;45;0;0
1055;112662018;34;45;3;"98185MI0440011-03";"2018-12-31";98185;0;100;0
595;51832017;238;45;3;"40047MI0070001-00";"2017-12-31";40047;0;0;0
75;14872018;34;27;1;"20129IL0330060-05";"2018-12-31";20129;0;20;0
865;67552018;238;45;2;"53901AZ1420020-00";"2018-12-31";53901;0;0;90
490;67552018;34;45;3;"53901AZ1420020-00";"2018-12-31";53901;0;100;0
130;4942017;34;27;3;"14002TN0190070-00";"2017-12-31";14002;0;50;0
870;57862018;238;45;2;"41921VA0020003-01";"2018-12-31";41921;0;0;0
400;50732018;238;45;2;"39424OR1460006-00";"2018-12-31";39424;0;0;0
710;38522017;238;45;3;"33602TX0770078-02";"2017-12-31";33602;0;0;0
865;38672017;238;45;2;"33602TX0770102-02";"2017-12-31";33602;0;0;25
100;10582017;34;27;3;"16842FL0070128-03";"2017-12-31";16842;0;50;0
15;13882018;238;45;3;"20129IL0310123-01";"2018-12-31";20129;0;0;0
1000;107352017;34;18;1;"93332GA0710044-00";"2017-12-31";93332;0;0;0
900;38002018;34;27;1;"33602TX0460692-03";"2018-12-31";33602;0;50;0
1000;77522018;238;45;1;"66252TX0030004-02";"2018-12-31";66252;0;0;0
250;74872018;238;45;2;"60536SD0020029-02";"2018-12-31";60536;0;0;0
275;38402017;34;36;2;"33602TX0470295-01";"2017-12-31";33602;0;0;1
595;92942017;238;45;2;"83502GA0020003-01";"2017-12-31";83502;0;0;0
75;38432017;238;45;3;"33602TX0770014-01";"2017-12-31";33602;0;0;0
80;37592017;238;45;3;"32753MO0780020-01";"2017-12-31";32753;0;0;0
770;60492018;238;45;2;"41921VA0020012-03";"2018-12-31";41921;0;0;0
640;60492018;34;45;3;"41921VA0020012-03";"2018-12-31";41921;0;100;30
190;76912017;238;45;1;"66252TX0030004-02";"2017-12-31";66252;0;0;0
375;52482017;34;27;1;"40047MI0070001-00";"2017-12-31";40047;0;20;0
455;52482017;238;45;2;"40047MI0070001-00";"2017-12-31";40047;0;0;0
455;31952017;238;45;3;"29698MI0540001-00";"2017-12-31";29698;0;0;0
620;38352017;34;45;3;"33602TX0470295-01";"2017-12-31";33602;0;100;0
175;86842017;34;45;3;"74483MO0040003-03";"2017-12-31";74483;0;100;0
330;46292017;238;45;2;"37833WI0510067-01";"2017-12-31";37833;0;0;0
415;110932017;238;45;2;"96751NH0150022-01";"2017-12-31";96751;0;0;0
455;112782017;238;45;2;"98185MI0550001-00";"2017-12-31";98185;0;0;0
1015;47842017;238;45;2;"38166WI0150005-00";"2017-12-31";38166;0;0;0
450;46512018;238;45;3;"37833WI0510083-06";"2018-12-31";37833;0;0;0
795;43992018;34;45;3;"36096IL1000005-00";"2018-12-31";36096;0;100;0
990;112002017;34;45;3;"96751NH0150027-06";"2017-12-31";96751;0;100;0
480;27872018;34;27;3;"28162OH0060061-04";"2018-12-31";28162;0;40;0
130;40402018;34;45;3;"36096IL0810111-00";"2018-12-31";36096;0;100;0
640;46882018;238;45;2;"37833WI0540009-06";"2018-12-31";37833;0;0;60
330;46882018;238;45;2;"37833WI0540009-06";"2018-12-31";37833;0;0;60
375;77302018;238;45;2;"66252TX0030004-02";"2018-12-31";66252;0;0;0
85;38442017;238;45;2;"33602TX0770014-01";"2017-12-31";33602;0;0;0
360;37932018;34;45;3;"33602TX0460570-01";"2018-12-31";33602;0;100;0
795;55492018;238;45;2;"41047OH0010019-04";"2018-12-31";41047;0;0;20
330;112532017;238;45;2;"98185MI0180015-02";"2017-12-31";98185;0;0;30
640;21892018;238;36;1;"22444PA0010047-00";"2018-12-31";22444;50;0;36
845;104532018;34;45;3;"91762NJ0070093-00";"2018-12-31";91762;0;100;0
625;38382017;34;45;3;"33602TX0470295-01";"2017-12-31";33602;0;100;0
420;44662017;34;27;3;"36239KY1130005-05";"2017-12-31";36239;0;30;0
